text,label
친구가 생겨서 행복해. 같이 노래방 가고 싶어.,0
모르겠어. 누가 날 좀 도와줬으면 좋겠어.,1
부모님이 경황이 없어서 가족 여행 취소래.,1
대학교 입학해서 설렜는데 요즘 자꾸 친구들을 의식하게 돼.,1
나 지금 친구 만나고 집에 가는 길이야. 얘네를 만나면 진짜 아무 말이나 하는데 그래도 편하고 좋아. 앞으로 살면서도 이런 친구들을 만날 수 있을까? 너무 행복해.,0
세상이 나한테 이럴 수 있어? 열심히 공부해서 고등학교에 입학했더니 여기는 경쟁이 훨씬 심한 것 같아.,1
아내와 자식이 나를 싫어해서 아내와 이혼했어. 너무 힘들어.,1
그래서 모발 이식 수술을 알아보고 있는데 가격이 만만치 않아서 걱정이야.,1
얼마만의 우승이냐! 응원하던 프로야구팀이 이번엔 우승까지 했어. 믿을 수 없어! 나뿐만 아니라 온 가족이 경기를 지켜보며 응원했는데 우승까지 하니 마치 우리 가족의 경사 같아! 그래서 오늘은 온 가족 외식이야! 즐거운 마음으로 맛있는 거 먹고 와야지.,0
그동안 열심히 살고 나를 위해선 돈 쓰는데 벌벌 떨며 살았는데 항상 돈이 모자라.,1
우선 가장 친한 친구에게만 말하려고.,1
다행이네. 덕분에요.,0
나도 다양한 음식을 먹고 싶어.,1
이제 곧 입시인데 공부를 포기하고 게임에 빠져 있어.,1
말 안 해도 알아낼 것 같으니 사실대로 말하는 게 좋겠어.,1
엄마가 안쓰러워. 엄마의 기분이 어떤지 물어보고 엄마한테 잘해야겠어.,1
주말에 아들하고 자전거 타러 갈 생각을 하니 마음이 편안하네. 응. 이번 주는 회사 일이 바빠서 편히 쉴 수 없었거든. 응. 아들과 자전거도 타고 맛있는 것도 같이 먹고 가족들과 편한 시간 보내야겠어.,0
나 시가에 밥 먹으러 갔다가 처음 보는 친척분 때문에 기분이 상했어.,1
우선 반 친구들이랑 연락해 보고 카페 가서 같이 얘기하고 싶어.,1
아무리 노력해도 취업이 안 되니 내가 뭘 할 수 있을지 모르겠어.,1
나는 정말 열심히 한 숙제인데 선생님이 안 좋은 예시라고 하니까 수치심 들고 속상해.,1
다리가 불편한 가운데 최선을 다했는데 왜 나에게 책임을 묻는 건지 모르겠어. 어이가 없네.,1
이번 회의에서 내 의견이 잘 반영돼서 내가 원하는 대로 프로젝트가 진행될 것 같아. 하지만 너무 내가 원하는 대로만 흘러가니까 불안하기도 해. 아무래도 스스로를 믿고 꾸준히 잘해나가는 수밖에 없겠어.,0
친구들에게 하지 말라고 한 마디 해야겠어.,1
운이 좋게 좋은 아파트에 당첨됐어. 맞아. 거기는 치료받기도 좋다고 해서 이사 갈 날만 기다리는 중이야. 그렇단다. 병원이 아파트에 있어서 최고의 장점인 것 같아.,0
이천이 년 시 월 십삼 일은 일요일. 오후 세 시 반 부로 사망 선고를 했다.,1
부모님이 선뜻 내가 가고 싶은 고등학교를 갈 수 있게 지원해주셨어. 하고 싶은 게 있을 때 아낌없이 지원해주셔서 너무 감사해. 보답해드리고 싶어. 최선을 다해 공부해서 부모님을 기쁘시게 해드릴래.,0
친구한테 내가 느낀 감정을 솔직히 말해야겠어.,1
친구들은 다들 취업해서 바쁘거든. 나만 집에서 공부하니까 외로워.,1
근데 오늘 엄마가 집을 나갔대. 나 때문인 것 같아서 너무 죄책감 들어 벌 받았나 봐.,1
이번 주말에 마누라랑 등산하기로 했는데 갑자기 피곤하다고 혼자 가라고 해서 실망했어.,1
집에 독촉장이 왔어. 나는 대학을 합격했는데도 기뻐할 수가 없었어.,1
나를 끼워 맞추기보다는 내가 정말 뭘 원하는지 다시 한번 생각해보는 시간을 가져볼래.,1
남편이 애를 봐주지도 않고 나 혼자만 보잖아! 나 혼자 낳은 것도 아니고 나도 직장 다니는데 말이지!,1
슬픈 마음을 괜히 전이시키는 것은 아닐지 걱정이야,1
자주만나야하는데 행동이 따라주지않는거 같아.,1
" 내가 무슨 행동을 하든, 어딜 가든 따라다녀서… 아무것도 할 수가 없었어.",1
노인이 되면서 젊은 사람들에게서 심한 열등감을 느껴.,1
남자친구가 바람을 피웠어.,1
요즘 경제적으로 어려워져서 아내가 청소 일을 하게 됐어. 가장이 되어서 아무것도 못하는 내가 너무 한심해.,1
회사 일이 나와 안 맞는 것 같아. 그래서 사람들과도 자연스레 멀어진 것 같아.,1
가족들이 함께 행복하게 지내는 것이 아닐까?,1
애들이 나보고 못생겼다고 같이 놀기 싫대.,1
나는 드라마 보는 게 싫은데 친구들 때문에 스트레스받아.,1
오늘 남자 친구 집에 가서 부모님을 만났는데 너무 편안하게 대해주셔서 기분이 좋았어. 대화를 나누면서 나를 정말 친딸처럼 대해주시는 게 느껴졌어. 남자친구의 부모님과 가까워져서 기뻐. 남자친구의 부모님께 작은 선물을 드리며 감사를 표하려고 해.,0
남들은 취업 때문에 정신없을 텐데 나는 마음이 느긋해 나는 이미 정해진 직장이 있거든. 그래서 졸업하고 가기만 하면 돼.,0
멀리 사는 우리 손주들더러 한 번 보러 와 주라고 하고 싶어.,1
부하 직원이 내 험담을 하는 걸 아는데 막상 내 앞에선 엄청 아부해.,1
나는 지금 너무 행복해. 오늘은 우리 가족끼리 지정한 가족 기념일이거든. 이날이 되면 난 너무 기뻐! 가족 기념일엔 다 같이 모여서 얘기도 하고 맛있는 것도 먹을 수 있잖아.,0
맞아. 나를 오해하고 있는 것 같은데 너무 답답해.,1
나 이번에 지원한 회사 최종합격할 것 같은 기분이 들어! 그동안 지원하는 곳마다 불합격이어서 우울했는데 이번에는 진짜 제대로 준비했어. 합격할 것 같다는 자신감이 들어.,0
드디어 내 분야에서 최고의 전문가로 많은 사람에게 인정받게 됐어. 내가 이 분야에 관심을 갖게 도와주신 은사님께서도 뿌듯해하셨어. 그리고 앞으로 더 발전하길 바란다고 해주셨어. 지금에 만족하고 안주하지 않고 끊임없이 연구해서 더 많은 성과를 내기 위해 노력해야겠어.,0
쉬는 시간마다 친구들이 나를 따돌려서 죽고 싶어.,1
나는 잘 봤다고 생각하는데 결과가 다음 주에 나온대.,1
며칠 전 친구 할머니가 돌아가셔서 친구가 아직도 많이 울고 있어. 그 모습을 보니 나도 너무 슬퍼.,1
나 아무래도 친구한테 말실수를 한 것 같아 내일 학교에서 혼자 다니면 어떡하지?,1
보험료는 맨날 올라. 너무 불안해.,1
친구에게 많이 미안했다고 전해줘야지.,1
입사한 지 한 달도 안 됐는데 부득이한 회사 사정이 있다며 해고당해서 당혹스러워.,1
항상 피곤하고 지친 느낌을 많이 받았는데 요즘 운동 시작하고 많이 좋아졌어. 친구 추천으로 요가를 시작했는데 처음에는 힘들었거든? 근데 지금은 컨디션도 좋아지고 심리적으로도 안정감이 들어서 만족스러워. 다른 운동보다 나한테는 요가가 잘 맞는 것 같아.,0
응. 지금 남자 친구랑 결혼을 약속하고 있는데 내 건강에 문제가 생기는 걸까 봐 너무 후회돼.,1
요즘에 밤에 잠을 잘 못 자겠어.,1
청소도 하고 요샌 화분을 좀 돌보면서 사는 것 같아. 생각을 말아야지.,1
항암치료 받고 나서 산골짜기에 와서 요양 중인데 도시가 그립다. 여기 있으면 답답해.,1
오빠는 늘 나한테 장난을 너무 많이 쳐서 스트레스 받아.,1
남편이랑 진지하게 얘기를 해봐야겠어.,1
고2 때 왕따를 당했어요.,1
딸 아이와 아빠는 초등학교 사학년 지나면 점점 멀어진다고 하더라. 그래서 계속 친구 같은 아빠가 될 수 있도록 노력 중이야.,1
나는 지금 직장생활에 만족해. 중소기업이지만 마음도 편하고 사람들도 좋아.,0
몸이 불편하지만 내가 맡은 일을 열심히 해볼 거야.,1
업무 스트레스로 화를 가끔 다스리기 어려워 고민이야.,1
우리 딸을 생각하니 비통해서 잠을 이룰 수가 없어.,1
지난 번 내 잘못을 아이들에게 사과하고 이번에는 잘 할 수 있다고 설득을 해야 할 것 같아,1
나도 이성을 만날 수 있겠지?,1
이번 주말에 아내와 함께 인터넷 쇼핑 한번 해야겠어.,1
친구가 왜 밥을 사주겠다는 건지 모르겠어.,1
퇴근 후에도 업무 관련 연락을 하는 상사가 짜증 나.,1
나와 비슷한 또래라 그런지 괜히 더 걱정돼.,1
나와 같은 아픔을 가진 친구를 만나서 이야기하고 위로받고 싶어.,1
이번에도 취업에 실패했는데 가족들이 나를 어떻게 생각할지 걱정이 된다.,1
이 나이 먹고 이렇게 당혹스러운 일은 처음이야.,1
시간이 조금 초과됐나 봐. 결과 보고 나도 모르게 눈물이 조금 나더라고.,1
몸이 불편한 나를 돌보는 게 너무 힘들었다고 하더라고. 이해는 가지만 허탈하다.,1
집에서도 지지받지 못하는 느낌에 불안해. 아내에게도 짐이 되는 것 같아.,1
그럼 토요일에 보자. 잘 자. 응. 잘 자.,0
발목 부상으로 삼 년 동안 고생을 많이 했는데 거의 다 나아져서 기뻐. 직장에서 일하다가 실수로 계단에서 넘어졌는데 지금도 조심하며 살아가고 있어.  날마다 걷기 운동을 한 시간씩 꾸준히 하고 있어요.,0
응. 지금은 마음이 많이 진정됐지만 다시 생각하니 너무 화가 나.,1
나를 돈줄로 생각하는 것 같아서 화가 나. 나는 이 돈을 자식들에게 쓰고 싶지 않아.,1
축하해 줘. 나 정말 가고 싶었던 회사에 드디어 합격했어. 이번에 또 떨어지면 다섯 번째로 떨어지는 거라 너무너무 걱정했는데 다행이야. 부모님도 마음고생을 좀 하셨겠지. 이제 나도 제대로 아들 노릇 좀 할 수 있을 것 같아.,0
우선은 주변 사람들의 의견을 들어보는 게 좋을 것 같아.,1
나는 중요하다고 생각해.,1
괜찮은 주식이 있어서 보험금으로 받은 돈 전부를 투자했는데 주가가 떨어지기만 해서 불안해.,1
지금부터 더 아내에게 잘할 거야.,1
똑같이 존중받고 싶은데 사람들은 안 좋은 시선으로 쳐다봐서 상처야.,1
마누라가 돈도 없으면서 무슨 술이냐고 잔소리를 하네.,1
부모님이 이혼하시고 우울증이 왔어. 친구 같던 엄마가 없이는 사는 게 의미가 없어.,1
어릴 때 바쁘다고 아이를 너무 방치해 놔서 그런 것 같아. 다 내 탓이야.,1
비가 오니 파전을 해서 줘야겠어.,1
안 그래도 혼자돼서 기분이 적적한데 옆에서 마저 그런 눈으로 보니 침울해지네.,1
남편은 의심이 많고 폭력적이에요.,1
친구들과 놀러 가는 중에 군고구마를 팔고 계시는 우리 아빠를 보고 정말 당황스러웠어.,1
지금이라도 열심히 벌어서 우리 딸 시집갈 때 든든하게 지원해줘야겠어.,1
유방암 때문에 유방을 절제한 후로는 대중목욕탕에 가지 않아.,1
평소 아들은 진로나 고민상담을 아내에게만 하고 내겐 통 말을 걸지 않아.,1
허리가 아파서 집안일도 겨우 해 왔는데. 욕실에서 미끄러져서 한동안 일어나지도 못했어.,1
다들 예전엔 내가 못산다고 무시했었어. 화려하게 결혼식을 올려서 코를 납작하게 해 주고 싶어.,1
나는 취업을 준비하고 있어. 취업을 하지 못하고 있어서 불안해.,1
