text,label
오늘 하루는 정말로 힘들었다. 같이 있어 줘!,2
오늘은 속상해서 친구들이랑 크게 다투었어. 그동안 얼마나 고생했는지 모르겠다.,2
상사한테 배신 당했다. 저번 주 말해줬던 비밀을 다른 사람들한테 퍼부어 놨잖아.,2
"내가 놓치는 것 많겠지, 그럼에도 계속 나아가야 해.",3
내가 잘못한 게 뭐야? 계속 혼자 책임질 수가 없어.,1
"회사 사람들과 말하고 싶지만, 이번에는 서로 대화가 안 될 것 같아 비탈져만 갈 뻔했다.",2
"우리끼리의 대화가 늘 줄 알았는데, 사실 그건 내가 너무 기대했던 거였나 봐. 오늘은 혼자서만 보내야 했어.",2
오늘은 내가 나를 너무 압박한 것 같아. 늘 더 잘 해야 한다는 생각땜에 기진맥진하다.,3
"오늘도 무능함을 느꼈고, 그래서 울기 시작했다.",3
오늘따라 동료들이 나를 피하는 거 같아. 말은 안 하고 빠져나가고… 어쩌라고.,2
외로움이 너무 들다. 밥 먹는 것도 혼자서 해야 했다.,2
압박감 덜 받기 위해 쉬어야겠네. 오늘 하루를 잊어버려서 좋겠다.,1
회사 일에 집중하지 못해 왔어. 이번에는 좀 더 진지하게 다뤄야겠다.,3
같이 식사하려 해도 everybody's busy라며 거절당했다. 왜 저들이 나한테 그러는 걸까?,2
오늘 퇴근길 차 대피하는데 기다리는데 20분 넘게 걸렸다. 집에 도착해서는 누가 뭐래고 상관없다고 혼내겠다.,1
"오늘따라 사람들 사이에서 섞이기가 힘들었다. 누구와도 잘 어울리지 못하고, 그저 바보처럼 서 있었던 것 같다.",2
운전하다 보면 자꾸 막히는데 그것보다 더 화나는 건 차가운 차선 주행을 하게 만들었다.,1
아침부터 저녁까지 회의가 이어져서 완전히 정신없었다. 이렇게 피곤하던 건 처음이다.,0
"회사 동료들이 뭔가 모르게 나를 배신한 것 같아서, 이제 혼자 일해야겠다고 결심했다.",2
오늘은 너무 피곤해. 좀 더 존중받고 싶다.,1
"오늘은 친구로부터 충고를 받았는데, 내 선택을 부정적으로 볼 줄 몰랐어. 왜 저만 이해시킬 수 없는 거지?",2
"오늘은 계속 불안한 기분이었다. 내가 앞으로의 미래를 너무 걱정해서, 마음이 무겁게 느껴졌다.",3
미팅 전에 준비해놓은 내용을 완전히 무시당하고 말았어. 분노가 차올라 심호흡을 몇 번 했다.,1
"오늘은 정말 웃길 날짜였다. 회사에서 뭔가 잘못 들었는지 막말한 사람 때문에 전화를 걸어오더니, 내가 얼마나 억울했는지 몰라.",1
회사 동료들이 오늘 특별히 케어해주지 않았다. 혼자서 업무를 처리하면서도 조금 힘들었다.,2
밖으로 나와도 걸음을 옮기기도 힘들었다. 그냥 이렇게 앉아 있어도 고생인 거 같아.,0
"집에서도 아무 말도 안 해서 혼자 속상하다, 오늘은 왜 이렇게 고단한지 모르겠다.",1
오늘은 진짜 기운이 없는 하루였어. 걸음을 내딛는 것조차 힘들었지.,0
회사 사람들한테 기대던 지원을 안 받고 집에 혼자 있었다. 이거 누구땜시 내가 이렇게 될 수 있는 거지?,2
"오늘은 정말로 지쳤다, 몸과 마음이 완전히 드문드문했다.",0
에너지가 고갈된 것 같아. 웃는 ENERGY가 없는 날이었다.,0
"오늘 실수한 거 하나 없었지만, 계속 미안하다고 사과해야 했다. 너무 지쳤다.",1
오늘 회사 동료들이 웃음이 나오는데 내가 그 사이에 끼어들 수 없어. 외로움 느껴.,2
"미안하다, 내가 좀 더 열심히 노력해야 할 것 같다.",3
능력을 인정받을 수 없어서 오늘은 정말 마음이 답답했다.,3
에너지를 많이 쓴 끝에 이제는 그냥 내버려 두고 싶다.,0
오늘 일기 쓰는데 몇 번이나 멈추고 생각했다.,3
오늘은 참 못마땅했다. 전화 통화하면서 말썽 부리는 사람이 있어. 그 사람들 때문에 일 처리 늦어졌는데!,1
오늘 나에게 일어난 일이 정말 어려웠다. 나는 아직 더 성장해야겠구나.,3
데이트가 예상대로 망쳤다. 아무 말도 못하고 다니느라 피곤했다. 이런 날은 혼자서 보내야겠다.,1
"오늘도 함께하길 바랐지만, 나는 혼자였다. 그런 상황에서 외로움을 느끼지 않을 순 없었지.",2
오늘은 정말 끝도 없이 계속되는 불만이었다. 회사에서의 미팅에서 제 의견을 무시한 것 같아 짜증이 났다.,1
오늘은 혼자 집에서 영화 봤다. 같이 점심 먹으러 가려 했는데 친구들이 나를 배제했다.,2
오늘은 정말 답답했어. 아무런 잘못도 없는 내가 그런 대우를 받다니...,1
"친구들에게 기대했던 편지를 받지 못해 마음이 아팠다. 약속한 만남이 연기되면서, 왜 이렇게 불편하게 느껴지는지 모르겠다.",2
오늘은 완전히 혼자였다. 같이 있던 사람들도 멀어져 버렸네.,2
오늘 하루는 정말 무기력했다. 모든 것이 힘들었어.,1
"오늘 친구랑 만났는데, 옷차림이나 말투가 자신 없게 느껴져서 속상했다. 좀 더 노력해야겠다.",3
"주말이라 다녀오려 했지만, 몸은 무기력하게 움직여주지 않는다. 그냥 집에만 머문 하루였다.",0
오늘은 정말 힘들었다. 상대방의 배신 때문에 나에게 편한 공간이 사라진 거야.,2
오늘은 뭐 하던 중에도 팀원들이 나를 배실했다. 혼자 남는 느낌이 참 고달프네.,2
"내 실력에 대해 계속 걱정되네, 내일부터는 좀 더 열심히 해야겠어.",3
주변 사람들 눈에는 늘 부족한 내가 보이는 것 같다. 이런 생각땜에 힘들어하며 열심히 노력해보려 한다.,3
오늘도 그들이 내게 차가운 시선으로 바라봐. 아직까지는 내 옆에서 거리를 두고 있어.,2
오늘따라 사람 만나는 것 싫어졌네... 아무도 제말 안 들어주고...,2
오늘은 뭐하러 다녔나 싶었는데 혼자였다는게 더 힘들었다.,2
오늘은 친구랑 같이 다니면서도 외로워졌어. 그들이 아닌 내가 원하는 대화를 안 해줘.,2
"팀원들과 대화할 때 항상 불안했어. 모르겠다, 잘 할 수 없다고 계속 생각해버려서.",3
오늘은 그들의 말대로 되지 않았어. 너무 힘들었다.,2
회식 자리에서 모든 사람들이 뭉쳐서 웃으면서 이야기하는데 내가 제대로 참여할 수 없었다. 외로움이 쏟아져 나왔다.,2
오늘은 정말 이만 끝내야겠어... 아무것도 힘들게 느껴지네.,0
내가 말한 일들이 완전히 무시된 듯하다. 나는 그냥 혼자 남겨진 거야.,2
오늘도 팀원들과 의견이 불편했다. 아무래도 소통이 부족한 거 같아.,2
"결국엔 침대에 몸을 맡겼지만, 피로가 싹 날아갔는지는 모르겠다.",0
"오늘은 내가 내 능력에 대해 의심하는 날이었다. 너무 떨리고, 너무 두려웠다.",3
"카페에서 앉아있는데, 아무도 제게 주목하지 않아 왜 이렇게 혼자인 걸까 생각했다.",2
"오늘은 끝없이 이어진 스트레스 속에서 지내면서, 마침내 저녁 무렵에는 이미 모든 에너지가 다 소진되어 버린 거 같아. 결국 집에 와서는 잠자리를 찾았어.",0
"항상 그렇게 했지만, 오늘은 더 크게 실패했다. 나 자신에게 비해 너무나 작은 성과라 고개를 떨어뜨릴 수밖에 없었다.",3
오늘은 나를 너무 걱정했다. 능력 부족 때문에 이렇게 비관하게 됐구나.,3
